phase,poverty_line,variable,value
p3,1.9,poor,111047828.933989
p2,1.9,poor,162314441.259232
p3,3.2,poor,144924997.073246
p2,3.2,poor,240271285.098573
p3,5.5,poor,166305214.779835
p2,5.5,poor,283607988.151168
nonipc,1.9,poor,459263123.463333
nonipc,3.2,poor,1480914155.31951
nonipc,5.5,poor,2873151636.29856
p3,1.9,nonpoor,68574080.4603349
p2,1.9,nonpoor,161099209.090351
p3,3.2,nonpoor,34696912.3210782
p2,3.2,nonpoor,83142365.25101
p3,5.5,nonpoor,13316694.6144893
p2,5.5,nonpoor,39805662.1984153
nonipc,1.9,nonpoor,6674389426.79276
nonipc,3.2,nonpoor,5652738394.93658
nonipc,5.5,nonpoor,4260500913.95754
