Year,ha,oda,ha_share
2010,7569.30401142489,43435.1513694907,0.148404761013429
2011,9949.90478839009,73496.0376169157,0.119237730458629
2012,6775.47846329576,33448.6592713432,0.168443100209978
2013,8616.22191062542,39765.4518933639,0.178088545376348
2014,10582.2535106068,47159.6809290654,0.183268080872194
2015,14848.1648639648,50530.4855097855,0.227110299449167
2016,19911.2221598562,70680.3070538945,0.219791213733413
2017,22249.1249390541,74184.8645208164,0.230718702644909
2018,23344.7901954199,75467.8074006865,0.236253177867472
2019,27209.4378387101,66345.6054840215,0.290838813946643
