Year,ha,oda,ha_share
2010,3121.11311680699,19203.2717375718,0.139807351340962
2011,3554.16486364719,21129.4927524474,0.143988582199818
2012,4195.0945087598,21761.316748657,0.161620744376251
2013,4572.29146821672,17430.1231502907,0.207808622257792
2014,3995.62195857086,17045.5065900118,0.189895800947426
2015,5593.60005073237,19880.175385431,0.219582686702636
2016,16432.5507518353,28806.036119004,0.363241911131129
2017,18602.4865581986,34578.7859696478,0.349793934480566
2018,21802.0079774207,51652.6978958281,0.29680886633787
2019,25059.7538715323,50042.1307636173,0.333676764481669
