Year,FlowName,total,len
2010,ODA Loans,97.4205675,8
2011,ODA Loans,460.009598,7
2012,ODA Grants,50.089202,6
2012,ODA Loans,78.453263,6
2013,ODA Grants,50.68447,7
2013,ODA Loans,102.789429,6
2014,ODA Grants,57.12507226,3
2015,ODA Grants,43.626799,2
2016,ODA Grants,0.0992383,4
2017,ODA Loans,313.775217,11
2018,ODA Loans,252.2714021,10
2019,ODA Grants,17.570482,7
2019,ODA Loans,425.89075027253,11
2016,ODA Loans,167.629054,9
2011,ODA Grants,125.44867606,8
2010,ODA Grants,21.2202178,5
2015,ODA Loans,57.644829,8
2017,ODA Grants,0,3
2014,ODA Loans,52.6125076,4
2018,ODA Grants,0,1
