Year,total,loans,grants,share_grants
2010,16420.4588204477,11333.4135234719,5062.88036197576,0.308781996550406
2011,15982.3822811125,11453.9522017011,4517.82439971142,0.28286298465456
2012,15690.1866979757,10878.4931255942,4797.87377518151,0.306057762334211
2013,18979.499246934,14104.3946128457,4857.72663948828,0.256180549361816
2014,19867.2781711895,15427.1730620119,4420.79049167764,0.222732698985426
2015,21878.4714086217,17163.9339969361,4693.5431776856,0.214733985088416
2016,20615.0957139211,16448.534485254,4148.9810986671,0.201431142594007
2017,21906.8812232335,18763.4962492863,3128.4579062772,0.142904460883048
2018,20759.422315584,18398.141360394,2342.39885673,0.112938179633144
2019,25370.9090916065,21592.2975692467,3760.4162536398,0.148324012960111
