Year,crisis_oda,all_oda,crisis_share
2010,51004.4553809156,107617.773056851,0.473940817879328
2011,47228.485521049,109542.650709477,0.431142438266406
2012,40224.137734639,105913.106532469,0.379784325581158
2013,48381.6738039894,120608.579393737,0.401146204085892
2014,57741.9344396721,114790.107835883,0.503021867722492
2015,65378.6503737504,125177.101605545,0.522289216919001
2016,90591.5292137506,133380.99936596,0.679193660599236
2017,96433.9894598705,140832.190625296,0.684743942643389
2018,98812.5975961063,139111.377372079,0.710312840421486
2019,93555.0433227316,143375.923001446,0.65251571787118
