iso3,hazard_class,IndicatorScore,drr_2018,drr_2019,diff
,,,699.7742361315,666.48833533941,0.952433371974222
AFG,High,6.7,21.63718103,17.99174567,0.83151985672507
AGO,Medium,3.1,0.6306952,2.6823028,4.25293041710164
ALB,High,6.4,2.2644731,0.19100931,0.0843504433768721
ARG,Medium,4,1.737001523,2.42103019,1.39379854187957
ARM,Medium,4.5,1.238062,0.73999664,0.597705639943719
ATG,Medium,3.7,2.5855223,0.28718756,0.111075259339283
AZE,High,4.9,0.0970702,0,0
BDI,Medium,3.6,3.2551613,17.377849,5.33855234762099
BEN,Medium,2.9,4.39529515,0.890869,0.202686957211508
BFA,Medium,3.7,11.99040532,13.14113913,1.0959712185943
BGD,Very High,8.2,149.63365107,90.9998696969,0.608151101347714
BIH,Medium,4.1,6.1306253,10.99087543,1.79278212126257
BLR,Low,2.2,0.103206,0.616888,5.97724938472569
BLZ,High,5.5,0.47299392,0.48511465,1.02562555138129
BOL,High,4.7,10.2523812,17.189376663,1.67662285742945
BRA,Medium,4,3.010999852,6.20870908,2.06200909504395
BTN,Medium,3.5,3.83698419,22.91938777,5.9732817846195
BWA,Low,2.7,0.1353158,0,0
CAF,Medium,3.1,0.621141,3.102777082,4.99528622647676
CHN,Very High,7.5,5.02526556,10.27961891,2.04558720076875
CIV,Medium,3.8,3.63864176,0.17306163,0.0475621513231904
CMR,Medium,3.6,2.75953,4.64217741,1.68223480447757
COD,Medium,4.5,6.51317,72.0102028084,11.0560913976451
COG,Medium,3.9,0.153758,0,0
COK,,,3.259411,0.0954546,0.0292858433624971
COL,High,6.7,5.415091102,8.04824371,1.48626192217292
COM,Low,2.7,0,4.12935073,Inf
CPV,Low,1.5,0.28153821,2.11392695,7.50849041059116
CRI,High,6,0.8588737,1.41958223,1.65284165762673
CUB,High,5.6,2.39813347,2.38342035,0.993864761830792
DJI,High,5.4,0.658781,0.4458094,0.676718666749648
DMA,High,4.9,2.6945579,14.33041919,5.31828215307602
DOM,High,6.7,5.019438962,7.53375713,1.50091617549985
DZA,High,4.7,0.64804983,0.72986121,1.12624242182117
ECU,Very High,6.9,4.135705051,87.48101277,21.1526237222472
EGY,High,4.9,3.35152198,2.70383088,0.806747172220545
ERI,Medium,3.7,0,0,
ETH,Medium,4.4,26.90258489,30.07893213,1.11806847754547
FJI,Medium,3.9,8.67985102,11.11894716,1.28100668253175
FSM,Medium,4.2,12.7968923,4.218099892,0.329619081970394
GAB,Low,2.5,0,0,
GEO,Medium,4.5,5.06565025,11.37249763,2.24502227132637
GHA,Medium,3.7,0.6717262,0.47945063,0.713759013717196
GIN,Medium,3.9,1.3060606,0.4496656,0.344291528279775
GMB,Medium,3.1,1.883422,1.3698162,0.727301794287207
GNB,Low,2.7,0.23079,0.08848339,0.383393517916721
GNQ,Medium,2.9,0,0.0018298,Inf
GRD,Low,1.7,2.85907,0.0251633,0.00880121857806909
GTM,High,6.7,5.295357023,5.18201031,0.978595076307851
GUY,Medium,3.8,12.44596986,0.466458628,0.0374786885431201
HND,High,6.5,16.815344542,9.440488362,0.561421048401376
HTI,Very High,7,37.6314830262,21.549585875,0.572647797590029
IDN,Very High,7.7,35.605236678,36.262424587,1.01845761944917
IND,Very High,7.8,31.31601262,71.7452173447,2.29100742215437
IRN,High,6.8,0.58772767,0.6664733,1.13398319327045
IRQ,High,5.6,10.339122,1.650809325,0.159666297099502
