iso3,hazard_class,IndicatorScore,disb,Location,PopTotal,per_cap
AFG,High,6.7,17.99174567,Afghanistan,38928.341,0.462176019008876
AGO,Medium,3.1,2.6823028,Angola,32866.268,0.0816126370052116
ALB,High,6.4,0.19100931,Albania,2877.8,0.0663733789700466
ARG,Medium,4,2.42103019,Argentina,45195.777,0.0535676196030439
ARM,Medium,4.5,0.73999664,Armenia,2963.234,0.249726022312109
ATG,Medium,3.7,0.28718756,Antigua and Barbuda,97.928,2.93263989870109
AZE,High,4.9,0,Azerbaijan,10139.175,0
BDI,Medium,3.6,17.377849,Burundi,11890.781,1.46145564366209
BEN,Medium,2.9,0.890869,Benin,12123.198,0.0734846531418525
BFA,Medium,3.7,13.14113913,Burkina Faso,20903.278,0.628664036808007
BGD,Very High,8.2,90.9998696969,Bangladesh,164689.383,0.552554560829826
BIH,Medium,4.1,10.99087543,Bosnia and Herzegovina,3280.815,3.35004425119978
BLR,Low,2.2,0.616888,Belarus,9449.321,0.0652838442042555
BLZ,High,5.5,0.48511465,Belize,397.621,1.22004282972982
BOL,High,4.7,17.189376663,Bolivia (Plurinational State of),11673.029,1.4725720858742
BRA,Medium,4,6.20870908,Brazil,212559.409,0.0292092884018133
BTN,Medium,3.5,22.91938777,Bhutan,771.612,29.7032547057329
BWA,Low,2.7,0,Botswana,2351.625,0
CAF,Medium,3.1,3.102777082,Central African Republic,4829.764,0.642428301258612
CHN,Very High,7.5,10.27961891,China,1439323.774,0.00714197812590289
CIV,Medium,3.8,0.17306163,Côte d'Ivoire,26378.275,0.0065607637345505
CMR,Medium,3.6,4.64217741,Cameroon,26545.864,0.174873848897892
COD,Medium,4.5,72.0102028084,Democratic Republic of the Congo,89561.404,0.804031643009973
COG,Medium,3.9,0,Congo,5518.092,0
COL,High,6.7,8.04824371,Colombia,50882.884,0.158171924964002
COM,Low,2.7,4.12935073,Comoros,869.595,4.74859070026852
CPV,Low,1.5,2.11392695,Cabo Verde,555.988,3.80210894839457
CRI,High,6,1.41958223,Costa Rica,5094.114,0.278671076069362
CUB,High,5.6,2.38342035,Cuba,11326.616,0.21042651662244
DJI,High,5.4,0.4458094,Djibouti,988.002,0.451223175661588
DMA,High,4.9,14.33041919,Dominica,71.991,199.058482171383
DOM,High,6.7,7.53375713,Dominican Republic,10847.904,0.694489657172482
DZA,High,4.7,0.72986121,Algeria,43851.043,0.0166441014869361
ECU,Very High,6.9,87.48101277,Ecuador,17643.06,4.95838095942541
EGY,High,4.9,2.70383088,Egypt,102334.403,0.0264215239522138
ERI,Medium,3.7,0,Eritrea,3546.427,0
ETH,Medium,4.4,30.07893213,Ethiopia,114963.583,0.261638784605382
FJI,Medium,3.9,11.11894716,Fiji,896.444,12.4033929169028
FSM,Medium,4.2,4.218099892,Micronesia (Fed. States of),115.021,36.6724327905339
