round,region,country,country_in_filter,year,status,dataset.status,dataset.url,archive,extra_info,report_url
MICS2,East Asia and the Pacific,Indonesia,Indonesia,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Indonesia/2000/Datasets/Indonesia%20MICS2%202000_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Indonesia/2000/Final/Indonesia%202000%20MICS_English.zip
MICS2,East Asia and the Pacific,Lao People's Democratic Republic,Lao People's Democratic Republic,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2000/Datasets/Lao%20PDR%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2000/Final/Lao%20People%27s%20Democratic%20Republic%202000%20MICS_English.zip
MICS2,East Asia and the Pacific,Mongolia,Mongolia,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Mongolia/2000/Datasets/Mongolia%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Mongolia/2000/Final/Mongolia%202000%20MICS_English.zip
MICS2,East Asia and the Pacific,"Myanmar, Republic of the Union of","Myanmar, Republic of the Union of",2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Myanmar%2C%20Republic%20of%20the%20Union%20of/2000/Datasets/Myanmar%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Myanmar%2C%20Republic%20of%20the%20Union%20of/2000/Final/Myanmar%202000%20MICS_English.zip
MICS2,East Asia and the Pacific,Philippines,Philippines,1999,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Philippines/1999/Datasets/Philippines%201999%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Philippines/1999/Final/Philippines%201999%20MICS_English.zip
MICS2,East Asia and the Pacific,Viet Nam,Viet Nam,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2000/Datasets/Viet%20Nam%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2000/Final/Viet%20Nam%202000%20MICS_English.zip
MICS2,Eastern and Southern Africa,Angola,Angola,2001,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Angola/2001/Datasets/Angola%202001%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Angola/2001/Final/Angola%202001%20MICS_English.zip
MICS2,Eastern and Southern Africa,Botswana,Botswana,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Botswana/2000/Datasets/Botswana%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Botswana/2000/Final/Botswana%202000%20MICS_English.pdf
MICS2,Eastern and Southern Africa,Burundi,Burundi,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Burundi/2000/Datasets/Burundi%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Burundi/2000/Final/Burundi%202000%20MICS_French.zip
MICS2,Eastern and Southern Africa,Comoros,Comoros,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Comoros/2000/Datasets/Comoros%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Comoros/2000/Final/Comoros%202000%20MICS_French.zip
MICS2,Eastern and Southern Africa,Eswatini,Eswatini,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Eswatini/2000/Datasets/Swaziland%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Eswatini/2000/Final/Swaziland%202000%20MICS_English.zip
MICS2,Eastern and Southern Africa,Kenya,Kenya,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Kenya/2000/Datasets/Kenya%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Kenya/2000/Preliminary/Kenya%202000%20MICS%20Preliminary_English.zip
MICS2,Eastern and Southern Africa,Lesotho,Lesotho,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Lesotho/2000/Datasets/Lesotho%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Lesotho/2000/Final/Lesotho%202000%20MICS_English.zip
MICS2,Eastern and Southern Africa,Madagascar,Madagascar,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Madagascar/2000/Datasets/Madagascar%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Madagascar/2000/Final/Madagascar%202000%20MICS_French.pdf
MICS2,Eastern and Southern Africa,Rwanda,Rwanda,2000,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Rwanda/2000/Datasets/Rwanda%202000%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Rwanda/2000/Final/Rwanda%202000%20MICS_French.zip
MICS2,Eastern and Southern Africa,Zambia,Zambia,1999,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Zambia/1999/Datasets/Zambia%201999%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS2/Eastern%20and%20Southern%20Africa/Zambia/1999/Final/Zambia%201999%20MICS_English.zip
