iso3,date,vac_pd,vac_pd_pm
AFG,2021-02-22,,
AFG,2021-02-23,1367,35
AFG,2021-02-24,1367,35
AFG,2021-02-25,1367,35
AFG,2021-02-26,1367,35
AFG,2021-02-27,1367,35
AFG,2021-02-28,1367,35
AFG,2021-03-01,1580,41
AFG,2021-03-02,1794,46
AFG,2021-03-03,2008,52
AFG,2021-03-04,2221,57
AFG,2021-03-05,2435,63
AFG,2021-03-06,2649,68
AFG,2021-03-07,2862,74
AFG,2021-03-08,2862,74
AFG,2021-03-09,2862,74
AFG,2021-03-10,2862,74
AFG,2021-03-11,2862,74
AFG,2021-03-12,2862,74
AFG,2021-03-13,2862,74
AFG,2021-03-14,2862,74
AFG,2021-03-15,2862,74
AFG,2021-03-16,2862,74
AFG,2021-03-17,2882,74
AFG,2021-03-18,2902,75
AFG,2021-03-19,2921,75
AFG,2021-03-20,2941,76
AFG,2021-03-21,2961,76
AFG,2021-03-22,2980,77
AFG,2021-03-23,3000,77
AFG,2021-03-24,3000,77
AFG,2021-03-25,3000,77
AFG,2021-03-26,3000,77
AFG,2021-03-27,3000,77
AFG,2021-03-28,3000,77
AFG,2021-03-29,3000,77
AFG,2021-03-30,3000,77
AFG,2021-03-31,3000,77
AFG,2021-04-01,3000,77
AFG,2021-04-02,3000,77
AFG,2021-04-03,3000,77
AFG,2021-04-04,3000,77
AFG,2021-04-05,3000,77
AFG,2021-04-06,3000,77
AFG,2021-04-07,3000,77
AFG,2021-04-08,3714,95
AFG,2021-04-09,4429,114
AFG,2021-04-10,5143,132
AFG,2021-04-11,5857,150
AFG,2021-04-12,6571,169
AFG,2021-04-13,7286,187
AFG,2021-04-14,8000,206
AFG,2021-04-15,8000,206
AFG,2021-04-16,8000,206
AFG,2021-04-17,8000,206
AFG,2021-04-18,8000,206
AFG,2021-04-19,8000,206
AFG,2021-04-20,8000,206
AFG,2021-04-21,8000,206
AFG,2021-04-22,8000,206
AFG,2021-04-23,8846,227
AFG,2021-04-24,9692,249
AFG,2021-04-25,10538,271
AFG,2021-04-26,11384,292
AFG,2021-04-27,12229,314
AFG,2021-04-28,13075,336
AFG,2021-04-29,13921,358
AFG,2021-04-30,13921,358
AFG,2021-05-01,13921,358
AFG,2021-05-02,13921,358
AFG,2021-05-03,13921,358
AFG,2021-05-04,13921,358
AFG,2021-05-05,13921,358
AFG,2021-05-06,13921,358
AFG,2021-05-07,13921,358
AFG,2021-05-08,13921,358
AFG,2021-05-09,13921,358
AFG,2021-05-10,13921,358
AFG,2021-05-11,13921,358
OWID_AFR,2021-01-09,,
OWID_AFR,2021-01-10,500,0
OWID_AFR,2021-01-11,500,0
OWID_AFR,2021-01-12,500,0
OWID_AFR,2021-01-13,500,0
OWID_AFR,2021-01-14,600,0
OWID_AFR,2021-01-15,667,0
OWID_AFR,2021-01-16,1000,1
OWID_AFR,2021-01-17,1118,1
OWID_AFR,2021-01-18,1236,1
OWID_AFR,2021-01-19,1354,1
OWID_AFR,2021-01-20,1595,1
OWID_AFR,2021-01-21,1718,1
OWID_AFR,2021-01-22,1841,1
OWID_AFR,2021-01-23,1622,1
OWID_AFR,2021-01-24,1433,1
OWID_AFR,2021-01-25,1463,1
OWID_AFR,2021-01-26,1677,1
OWID_AFR,2021-01-27,1775,1
OWID_AFR,2021-01-28,1965,1
OWID_AFR,2021-01-29,1996,1
OWID_AFR,2021-01-30,14836,11
OWID_AFR,2021-01-31,19979,15
OWID_AFR,2021-02-01,30975,23
OWID_AFR,2021-02-02,38916,29
OWID_AFR,2021-02-03,45937,34
OWID_AFR,2021-02-04,51671,39
OWID_AFR,2021-02-05,59446,44
OWID_AFR,2021-02-06,54656,41
OWID_AFR,2021-02-07,55849,42
OWID_AFR,2021-02-08,50970,38
OWID_AFR,2021-02-09,52305,39
OWID_AFR,2021-02-10,64098,48
OWID_AFR,2021-02-11,74046,55
OWID_AFR,2021-02-12,102656,77
OWID_AFR,2021-02-13,134483,100
OWID_AFR,2021-02-14,151062,113
OWID_AFR,2021-02-15,167642,125
OWID_AFR,2021-02-16,186365,139
OWID_AFR,2021-02-17,193118,144
OWID_AFR,2021-02-18,199310,149
OWID_AFR,2021-02-19,192631,144
OWID_AFR,2021-02-20,167250,125
