iso3,vac_share,full_vac_share,vac_num,total_vac_num
AFG,1.15,0.14,448878,504502
OWID_AFR,1.39,0.48,18631312,26042392
ALB,15.99,7.95,460191,688947
AND,34.86,6.09,26931,31633
AGO,1.84,0.23,606287,681502
AIA,58.73,29.49,8811,13235
ATG,32.53,2.64,31860,34441
ARG,18.32,4.66,8279961,10383925
ARM,0.65,,19249,19249
ABW,54.96,34.96,58683,96007
OWID_ASI,5.07,1.99,235392428,793587111
AUS,0.62,,159294,159294
AUT,34.03,12.54,3064524,4178215
AZE,10.4,7.98,1054414,1863292
BHS,9.15,,36000,36000
BHR,50.62,38.67,861398,1519373
BGD,3.54,2.32,5823201,9639289
BRB,26.46,16.4,76045,123177
BLR,3.17,1.59,300000,450000
BEL,35.08,12.41,4066023,5468914
BLZ,13.81,2.39,54909,64413
BEN,0.09,,10683,10683
BMU,56.71,50.18,35313,66564
BTN,62.49,,482214,482214
BOL,7.73,2.5,902833,1194572
BES,21.84,6.35,5726,7391
BIH,3.13,1.04,102803,136965
BWA,3.04,,71500,71500
BRA,17.58,8.34,37376193,55098913
BRN,3.44,0.2,15043,15905
BGR,10.55,6.59,733149,1191397
KHM,12.97,7.99,2168239,3503884
CMR,0.17,0.01,45706,47488
CAN,47.58,3.94,17958575,19444593
CPV,3.57,0.48,19858,22531
CYM,62.05,52.2,40778,75284
CAF,0.01,,667,667
CHL,48.82,39.69,9331722,16918269
COL,9.35,5.82,4759397,7718287
COM,4.96,0.21,43140,44975
COG,0.41,0.28,22623,38268
CRI,14.17,10.4,721882,1251900
CIV,1.39,,366285,366285
HRV,27.02,8.31,1109161,1450169
CUB,6.53,,740000,740000
CUW,49.22,31.47,80771,132406
CYP,38.82,13.92,340015,461901
CZE,30.58,10.64,3274616,4388483
COD,0.01,,11155,11155
DNK,29.74,19.01,1722783,2823828
DJI,1.27,0.05,12547,13042
DMA,26.77,20.39,19271,33949
DOM,23.46,7.61,2545132,3370726
ECU,6.82,2.15,1203778,1583399
EGY,1.11,0.23,1133956,1371976
SLV,16.44,6.65,1066112,1497261
OWID_ENG,54.87,31.36,30884041,48535975
GNQ,9.31,3.22,130641,175770
EST,31.53,13.94,418302,603161
SWZ,3.04,,35227,35227
OWID_EUR,27.74,12.93,207719508,303067573
OWID_EUN,33,13.77,146816396,206660138
FRO,39.2,16.01,19153,26977
FLK,75.57,50.96,2632,4407
FJI,10.37,,93000,93000
FIN,39.01,5.54,2161597,2468703
FRA,31.28,13.77,21133653,30264699
PYF,18.46,12.06,51856,85747
GAB,0.38,0.17,8515,12364
GMB,1.07,,25776,25776
GEO,2.34,0.38,93305,108382
DEU,37.88,11.82,31741349,41517849
GHA,2.74,,852047,852047
GIB,115.53,107.62,38923,75181
GRC,28.53,16.4,2974175,4615746
GRL,20.39,13.5,11577,19241
GRD,12.21,5.13,13744,19519
GTM,1.71,0.01,305764,308299
GGY,49.17,20.31,32969,46587
GIN,1.2,0.51,157907,224773
GNB,0.3,,5889,5889
GUY,19.16,0.36,150694,153494
OWID_HIC,31.94,18.74,403482526,650636022
HND,1.1,0.06,108538,114225
HKG,16.04,10.99,1202405,2026556
HUN,49.99,29.14,4829595,7644400
ISL,45.73,21.45,156058,220021
IND,10.53,2.98,145333606,186410600
IDN,5.11,3.39,13985952,23262139
IRN,2.36,0.42,1979167,2329379
IRQ,1.13,,453361,453361
IRL,28.53,10.43,1408655,1922913
IMN,71.91,21.35,61145,79300
ISR,62.81,59,5436646,10543578
ITA,32.94,15.28,19917664,28859336
JAM,4.57,,135473,135473
JPN,4.14,1.85,5236829,7577142
JEY,55.09,38.48,55684,94574
JOR,10.14,2.8,1034808,1320836
KAZ,10.11,4.27,1898604,2700694
KEN,1.76,,945597,945597
OWID_KOS,2.39,,46097,46097
KWT,19.25,0.89,822000,860000
KGZ,0.57,0.09,37117,43127
LAO,6.53,1.22,474983,563466
LVA,22.01,7.55,415097,552553
LBN,6.18,3.08,421523,631679
LSO,1.71,,36637,36637
LBR,0.72,,36404,36404
LBY,1.55,,106559,106559
LIE,27.61,15.22,10529,16333
LTU,33.21,17.62,904075,1383714
OWID_LIC,0.4,0.04,3109431,4920158
OWID_LMC,6.05,1.84,187441156,244492487
LUX,33.47,14.04,209494,297351
MAC,13.54,7.81,87904,138414
MDG,0.01,,3890,3890
MWI,1.75,,335232,335232
MYS,4.36,2.75,1412751,2303580
MDV,56.31,27.65,304394,453829
MLI,0.35,0.06,71216,84280
MLT,65.65,34.56,289855,437654
MRT,0.34,,15661,15661
MUS,16.68,0.67,212182,220646
MEX,12.54,8.63,16173646,24223297
MDA,5.67,0.88,228911,264380
MCO,39.98,33.06,15688,28663
MNG,55.23,20.9,1810479,2495668
MNE,18.07,5.53,113497,148255
MSR,25.87,12.32,1293,1909
MAR,19.05,12.66,7029682,11703585
MOZ,1.02,0.24,318548,393105
MMR,3.11,1.57,1689551,2543762
NAM,2.23,0.15,56759,60539
NRU,68.23,,7392,7392
NPL,7.25,1.46,2113080,2539590
NLD,33.5,11.61,5740416,7600981
NCL,15.8,12.48,45104,80734
NZL,6.67,3.17,321502,474435
NIC,2.51,,166350,166350
NER,0.48,0.03,115112,121626
NGA,0.89,,1842437,1842437
OWID_NAM,33.83,23.72,200286733,330306796
MKD,8.93,1.62,186146,219977
OWID_CYN,19.31,13.46,73814,125248
OWID_NIR,53.02,30.37,1004070,1579129
NOR,29.18,11.28,1581904,2193565
OWID_OCE,1.75,0.54,747506,4002672
OMN,4.95,1.43,253000,326269
PAK,1.33,0.44,2931064,3836291
PSE,5.32,3.83,271607,466814
PAN,13.23,6.78,570640,863325
PNG,0.1,,8921,8921
PRY,2.9,0.47,206769,240584
PER,5.72,2.48,1885295,2703476
PHL,2.29,0.72,2512942,3299470
POL,31.36,12.67,11868779,16372436
PRT,32.93,14.23,3358063,4809225
QAT,43.05,31.6,1240202,2150749
ROU,20.78,15.45,3997170,6931689
RUS,10.09,6.95,14718070,24862902
RWA,2.71,,350400,350400
SHN,58.69,58.11,3563,7091
KNA,27.43,7.72,14588,18695
LCA,11.03,,20247,20247
VCT,16.13,,17893,17893
WSM,10.36,,20553,20553
SMR,66.62,54.79,22609,41204
STP,4.44,,9724,9724
OWID_SCT,55.85,31.2,3051383,4755771
SEN,2.6,,434588,434588
SRB,34.37,27.13,2338805,4184634
SYC,71.1,62.67,69915,131546
SLE,0.73,0.08,58250,64966
SGP,33.61,24.62,1966524,3407068
SXM,35.69,25.23,15304,26121
SVK,27.12,12.91,1480534,2185568
SVN,28.23,14.73,586942,893198
SLB,1.57,0.51,10800,14279
SOM,0.78,,124471,124471
ZAF,0.94,0.94,558170,558170
OWID_SAM,15.31,7.63,65953067,98817587
KOR,7.34,2.48,3760940,5034150
SSD,0.06,,6403,6403
ESP,33.67,15.98,15741247,22973955
LKA,6.46,1.4,1383082,1683203
SDN,0.47,0.2,204838,290500
SUR,9.35,0.43,54837,57362
SWE,32.97,10.22,3329463,4362100
CHE,28.16,14.29,2436749,3673576
SYR,0.01,,2500,2500
TWN,0.14,,32389,32389
TJK,0.74,,70517,70517
THA,2.27,1.23,1585773,2445645
TLS,2.32,,30599,30599
TGO,3.33,,276000,276000
TON,21.16,1.28,22363,23712
TTO,4.42,0.08,61806,62985
TUN,5.55,1.74,656077,861977
TUR,18.22,13.58,15366071,26821460
TKM,0.53,0.16,32240,41993
TCA,38.84,25.83,15039,25039
TUV,20.35,,2400,2400
UGA,1.02,,466823,466823
UKR,2.21,0.11,964745,1012815
ARE,51.38,38.79,5081853,
GBR,54.48,30.74,36985505,57855958
USA,47.59,37.51,159174963,277290173
OWID_UMC,5.07,2.83,134691715,655768073
URY,42.69,27.69,1482956,2444899
UZB,3.27,0.57,1095112,1285215
VEN,1.11,,316000,316000
VNM,1.01,0.03,982543,1011395
OWID_WLS,64.89,29.78,2046011,2985083
WLF,38.42,34.27,4321,8175
OWID_WRL,9.35,4.74,728730554,1555824131
YEM,0.06,,18555,18555
ZMB,0.65,,120209,120209
ZWE,4.07,1.61,605556,844684
