iso3,date,vac_share,full_vac_share,vac_num,total_vac_num
AFG,2021-02-22,0,,0,0
AFG,2021-02-23,,,,
AFG,2021-02-24,,,,
AFG,2021-02-25,,,,
AFG,2021-02-26,,,,
AFG,2021-02-27,,,,
AFG,2021-02-28,0.02,,8200,8200
AFG,2021-03-01,,,,
AFG,2021-03-02,,,,
AFG,2021-03-03,,,,
AFG,2021-03-04,,,,
AFG,2021-03-05,,,,
AFG,2021-03-06,,,,
AFG,2021-03-07,,,,
AFG,2021-03-08,,,,
AFG,2021-03-09,,,,
AFG,2021-03-10,,,,
AFG,2021-03-11,,,,
AFG,2021-03-12,,,,
AFG,2021-03-13,,,,
AFG,2021-03-14,,,,
AFG,2021-03-15,,,,
AFG,2021-03-16,0.14,,54000,54000
AFG,2021-03-17,,,,
AFG,2021-03-18,,,,
AFG,2021-03-19,,,,
AFG,2021-03-20,,,,
AFG,2021-03-21,,,,
AFG,2021-03-22,,,,
AFG,2021-03-23,,,,
AFG,2021-03-24,,,,
AFG,2021-03-25,,,,
AFG,2021-03-26,,,,
AFG,2021-03-27,,,,
AFG,2021-03-28,,,,
AFG,2021-03-29,,,,
AFG,2021-03-30,,,,
AFG,2021-03-31,,,,
AFG,2021-04-01,,,,
AFG,2021-04-02,,,,
AFG,2021-04-03,,,,
AFG,2021-04-04,,,,
AFG,2021-04-05,,,,
AFG,2021-04-06,,,,
AFG,2021-04-07,0.31,,120000,120000
AFG,2021-04-08,,,,
AFG,2021-04-09,,,,
AFG,2021-04-10,,,,
AFG,2021-04-11,,,,
AFG,2021-04-12,,,,
AFG,2021-04-13,,,,
AFG,2021-04-14,,,,
AFG,2021-04-15,,,,
AFG,2021-04-16,,,,
AFG,2021-04-17,,,,
AFG,2021-04-18,,,,
AFG,2021-04-19,,,,
AFG,2021-04-20,,,,
AFG,2021-04-21,,,,
AFG,2021-04-22,0.62,,240000,240000
AFG,2021-04-23,,,,
AFG,2021-04-24,,,,
AFG,2021-04-25,,,,
AFG,2021-04-26,,,,
AFG,2021-04-27,,,,
AFG,2021-04-28,,,,
AFG,2021-04-29,,,,
AFG,2021-04-30,,,,
AFG,2021-05-01,,,,
AFG,2021-05-02,,,,
AFG,2021-05-03,,,,
AFG,2021-05-04,,,,
AFG,2021-05-05,,,,
AFG,2021-05-06,,,,
AFG,2021-05-07,,,,
AFG,2021-05-08,,,,
AFG,2021-05-09,,,,
AFG,2021-05-10,,,,
AFG,2021-05-11,1.15,0.14,448878,504502
OWID_AFR,2021-01-09,0,,0,0
OWID_AFR,2021-01-10,,,,
OWID_AFR,2021-01-11,,,,
OWID_AFR,2021-01-12,,,,
OWID_AFR,2021-01-13,0,,2000,2000
OWID_AFR,2021-01-14,,,,
OWID_AFR,2021-01-15,0,,4000,4000
OWID_AFR,2021-01-16,0,,7000,7000
OWID_AFR,2021-01-17,,,,
OWID_AFR,2021-01-18,,,,
OWID_AFR,2021-01-19,0,,10976,10976
OWID_AFR,2021-01-20,0,,13163,13163
OWID_AFR,2021-01-21,,,,
OWID_AFR,2021-01-22,0,,16890,16890
OWID_AFR,2021-01-23,0,,18353,18353
OWID_AFR,2021-01-24,0,,18353,18353
OWID_AFR,2021-01-25,0,,19889,19889
OWID_AFR,2021-01-26,0,,22712,22712
OWID_AFR,2021-01-27,0,,25587,25587
OWID_AFR,2021-01-28,0,,28779,28779
OWID_AFR,2021-01-29,0,,30861,30861
OWID_AFR,2021-01-30,0,,32176,122206
OWID_AFR,2021-01-31,0,,32176,158206
OWID_AFR,2021-02-01,0,,36601,236712
OWID_AFR,2021-02-02,0,,37806,295127
OWID_AFR,2021-02-03,0,0,38716,347149
OWID_AFR,2021-02-04,0,0,38716,390474
OWID_AFR,2021-02-05,0,0,38716,446986
OWID_AFR,2021-02-06,0,0,39218,504800
OWID_AFR,2021-02-07,,,,
OWID_AFR,2021-02-08,0,0,39343,593502
OWID_AFR,2021-02-09,0,0,39352,661263
OWID_AFR,2021-02-10,0,0,39355,795836
OWID_AFR,2021-02-11,0,0,39581,908796
OWID_AFR,2021-02-12,0,0,39581,1165581
OWID_AFR,2021-02-13,0,0,43428,1446178
OWID_AFR,2021-02-14,,,,
OWID_AFR,2021-02-15,0,0,43437,1766999
OWID_AFR,2021-02-16,0,0,43444,1965819
OWID_AFR,2021-02-17,0,0,47104,2147659
OWID_AFR,2021-02-18,0,0,50146,2303964
OWID_AFR,2021-02-19,0.18,0,2412533,2513999
OWID_AFR,2021-02-20,0.19,0,2506856,2616931
OWID_AFR,2021-02-21,0.19,0,2512346,2622421
OWID_AFR,2021-02-22,0.2,0.01,2625632,2745898
OWID_AFR,2021-02-23,0.2,0.01,2724750,2854362
OWID_AFR,2021-02-24,0.23,0.01,3017856,3153546
OWID_AFR,2021-02-25,0.25,0.01,3292724,3434869
OWID_AFR,2021-02-26,0.26,0.01,3482568,3677524
