iso3,dhsmics
AFG,badakhshan
AFG,badghis
AFG,baghlan
AFG,balkh
AFG,bamyan
AFG,daykundi
AFG,farah
AFG,faryab
AFG,ghazni
AFG,ghor
AFG,helmand
AFG,herat
AFG,jawzjan
AFG,kabul
AFG,kandahar
AFG,kapisa
AFG,khost
AFG,kunarha
AFG,kunduz
AFG,laghman
AFG,logar
AFG,nangarhar
AFG,nimroz
AFG,nooristan
AFG,paktika
AFG,paktya
AFG,panjsher
AFG,parwan
AFG,samangan
AFG,sar-e-pul
AFG,takhar
AFG,urozgan
AFG,wardak
AFG,zabul
AFG,badakhshan rural
AFG,badghis rural
AFG,baghlan rural
AFG,balkh rural
AFG,bamyan rural
AFG,daykundi rural
AFG,farah rural
AFG,faryab rural
AFG,ghazni rural
AFG,ghor rural
AFG,helmand rural
AFG,herat rural
AFG,jawzjan rural
AFG,kabul rural
AFG,kandahar rural
AFG,kapisa rural
AFG,khost rural
AFG,kunarha rural
AFG,kunduz rural
AFG,laghman rural
AFG,logar rural
AFG,nangarhar rural
AFG,nimroz rural
AFG,nooristan rural
AFG,paktika rural
AFG,paktya rural
AFG,panjsher rural
AFG,parwan rural
AFG,samangan rural
AFG,sar-e-pul rural
AFG,takhar rural
AFG,urozgan rural
AFG,wardak rural
AFG,badakhshan urban
AFG,badghis urban
AFG,baghlan urban
AFG,balkh urban
AFG,bamyan urban
AFG,daykundi urban
AFG,farah urban
AFG,faryab urban
AFG,ghazni urban
AFG,ghor urban
AFG,helmand urban
AFG,herat urban
AFG,jawzjan urban
AFG,kabul urban
AFG,kandahar urban
AFG,kapisa urban
AFG,khost urban
AFG,kunarha urban
AFG,kunduz urban
AFG,laghman urban
AFG,logar urban
AFG,nangarhar urban
AFG,nimroz urban
AFG,paktya urban
AFG,parwan urban
AFG,samangan urban
AFG,sar-e-pul urban
AFG,takhar urban
AFG,urozgan urban
AFG,wardak urban
AFG,zabul urban
ALB,berat
ALB,diber
ALB,durres
ALB,elbasan
ALB,fier
ALB,gjirokaster
ALB,korce
ALB,kukes
ALB,lezhe
ALB,shkoder
ALB,tirane
ALB,vlore
ALB,berat rural
ALB,diber rural
ALB,durres rural
ALB,elbasan rural
ALB,fier rural
ALB,gjirokaster rural
ALB,korce rural
ALB,kukes rural
ALB,lezhe rural
ALB,shkoder rural
ALB,tirane rural
ALB,vlore rural
ALB,berat urban
ALB,diber urban
ALB,durres urban
ALB,elbasan urban
ALB,fier urban
ALB,gjirokaster urban
ALB,korce urban
ALB,kukes urban
ALB,lezhe urban
ALB,shkoder urban
ALB,tirane urban
ALB,vlore urban
