iso3,poverty_line,poor,nonpoor,HeadCount
AFG,1.9,13760514.5744546,24294426.4255454,0.361596003379814
AFG,3.2,28132991.9391014,9921949.06089856,0.739273040499562
AFG,5.5,35750120.5702828,2304820.42971721,0.939434397501307
AGO,1.9,17397028.8832545,15430372.1167455,0.5299545
AGO,3.2,24290999.7541011,8536401.2458989,0.7399611
AGO,5.5,29453939.0945964,3373461.9054036,0.8972364
BDI,1.9,9550166.1866914,2389060.8133086,0.7998982
BDI,3.2,11089530.1232505,849696.876749499,0.9288315
BDI,5.5,11711819.3494083,227407.650591699,0.9809529
CAF,1.9,3483095.2864687,1437793.7135313,0.7078183
CAF,3.2,4228938.6853539,691950.3146461,0.8593851
CAF,5.5,4638333.0298867,282555.9701133,0.9425803
COD,1.9,63568679.2213833,25936521.7786167,0.7102233
COD,3.2,79061125.5119532,10444075.4880468,0.8833132
COD,5.5,86627429.777448,2877771.222552,0.967848
DJI,1.9,144043.2501622,855855.7498378,0.1440578
DJI,3.2,349873.8591708,650025.1408292,0.3499092
DJI,5.5,652727.7678363,347171.2321637,0.6527937
ETH,1.9,19788788.300534,92970281.699466,0.1754962
ETH,3.2,55110848.875709,57648221.124291,0.4887487
ETH,5.5,94832802.190005,17926267.809995,0.8410215
GTM,1.9,1223393.35684888,16687418.6431511,0.06830474
GTM,3.2,3689444.5817176,14221367.4182824,0.2059898
GTM,5.5,7833689.4571452,10077122.5428548,0.4373721
HND,1.9,1595428.0409415,8123836.9590585,0.1641511
HND,3.2,3092953.925538,6626311.074462,0.3182292
HND,5.5,5072159.780049,4647105.219951,0.5218666
HTI,1.9,2482661.724102,8888523.275898,0.2183292
HTI,3.2,5128213.399092,6242971.600908,0.4509832
HTI,5.5,8550604.6341345,2820580.3658655,0.7519537
KEN,1.9,16732400.7408789,36759296.2591211,0.3128037
KEN,3.2,32672830.1618243,20818866.8381757,0.6108019
KEN,5.5,44868289.8282906,8623407.1717094,0.8387898
LSO,1.9,704406.9070346,1617810.0929654,0.3033338
LSO,3.2,1212282.9638073,1109934.0361927,0.5220369
LSO,5.5,1761460.1143684,560756.8856316,0.7585252
MDG,1.9,21535471.4323356,6155326.5676644,0.7777122
MDG,3.2,25221692.614734,2469105.385266,0.910833
MDG,5.5,26954566.1390952,736231.860904802,0.9734124
MOZ,1.9,20174452.6162685,12134742.3837315,0.6244183
MOZ,3.2,26345050.0706995,5964144.9293005,0.8154041
MOZ,5.5,29673850.276952,2635344.723048,0.9184336
MRT,1.9,272773.93432758,4510993.06567242,0.05702074
MRT,3.2,1112372.6891469,3671394.3108531,0.2325307
MRT,5.5,2751564.8948193,2032202.1051807,0.5751879
MWI,1.9,13642510.3679732,6641180.6320268,0.6725852
MWI,3.2,17836307.4964293,2447383.5035707,0.8793423
MWI,5.5,19533119.3833433,750571.616656698,0.9629963
NAM,1.9,469204.1793425,2227332.8206575,0.1740025
NAM,3.2,957103.1800523,1739433.8199477,0.3549379
NAM,5.5,1528371.2848448,1168165.7151552,0.5667904
PAK,1.9,9140763.91315304,199221570.086847,0.04386956
PAK,3.2,74377497.9780082,133984836.021992,0.3569623
PAK,5.5,158757846.524354,49604487.4756456,0.7619316
SDN,1.9,6467980.3938455,37073222.6061545,0.1485485
SDN,3.2,21010089.0778005,22531113.9221995,0.4825335
SDN,5.5,35873344.6127226,7667858.3872774,0.8238942
SLV,1.9,103046.04603436,6376019.95396564,0.01590446
SLV,3.2,471883.52928398,6007182.47071602,0.07283203
SLV,5.5,1681532.7319912,4797533.2680088,0.2595332
