iso3,phase,poverty_line,poor,nonpoor,cov_pop
AFG,p3,1.9,13145725.1894984,19041394.6733102,0.953453097479144
AFG,p2,1.9,1557959.83919649,2538521.66883096,0.953453097479144
AFG,p3,3.2,23683150.0374548,8503969.82535381,0.953453097479144
AFG,p2,3.2,3596060.0451202,500421.462907251,0.953453097479144
AFG,p3,5.5,30042003.0863564,2145116.77645217,0.953453097479144
AFG,p2,5.5,4041699.56699183,54781.9410356173,0.953453097479144
AGO,p3,1.9,733962.823836372,120738.918529787,0.028403362136685
AGO,p2,1.9,63112.6353468587,14594.1808961578,0.028403362136685
AGO,p3,3.2,804262.512578436,50439.2297877228,0.028403362136685
AGO,p2,3.2,70193.2954593439,7513.52078367265,0.028403362136685
AGO,p3,5.5,841562.542744057,13139.199622102,0.028403362136685
AGO,p2,5.5,74824.3787974569,2882.43744555956,0.028403362136685
BDI,p2,1.9,8794887.06527222,2200120.88107923,0.920914557228156
BDI,p2,3.2,10212509.7233215,782498.223029912,0.920914557228156
BDI,p2,5.5,10785584.9304965,209423.01585495,0.920914557228156
CAF,p3,1.9,4146735.65264167,686538.090353563,0.982195238095238
CAF,p3,3.2,4548480.84185368,284792.901141556,0.982195238095238
CAF,p3,5.5,4733295.4833815,99978.2596137404,0.982195238095238
COD,p3,1.9,28796260.6311493,3665122.85572356,0.645987209178384
COD,p2,1.9,18645040.0119284,6712791.50213899,0.645987209178384
COD,p3,3.2,32001701.3736922,459682.113180667,0.645987209178384
COD,p2,3.2,22893423.813196,2464407.70087133,0.645987209178384
COD,p3,5.5,32407916.4326511,53467.0542217569,0.645987209178384
COD,p2,5.5,24787397.5567374,570433.957329978,0.645987209178384
DJI,p2,1.9,121643.072458067,722761.551644667,1
DJI,p3,1.9,22400.1777041332,133094.198193133,1
DJI,p2,3.2,295464.946496088,548939.677606645,1
DJI,p3,3.2,54408.9126747118,101085.463222555,1
DJI,p2,5.5,551222.018865133,293182.605237601,1
DJI,p3,5.5,101505.748971167,53988.6269260991,1
ETH,p2,1.9,10932304.152627,29309021.9859584,0.356878840332626
ETH,p2,3.2,33237253.2128335,7004072.92575187,0.356878840332626
ETH,p2,5.5,39570541.639625,670784.498960366,0.356878840332626
GTM,p3,1.9,2634124.6752638,8772096.13342422,1
GTM,p2,1.9,693588.147039958,5811003.04427202,1
GTM,p3,3.2,5488205.37322499,5918015.43546304,1
GTM,p2,3.2,1588510.45910219,4916080.73220978,1
GTM,p3,5.5,8391068.10415047,3015152.70453756,1
GTM,p2,5.5,2897011.22734508,3607579.9639669,1
HND,p3,1.9,1106703.46787693,1270090.63134121,0.525488713318284
HND,p2,1.9,1104670.89152979,1625899.0685015,0.525488713318284
HND,p3,3.2,1544448.56151436,832345.537703784,0.525488713318284
HND,p2,3.2,1687376.48911425,1043193.47091704,0.525488713318284
HND,p3,5.5,1848556.10300273,528237.996215406,0.525488713318284
HND,p2,5.5,2135388.78507255,595181.174958748,0.525488713318284
HTI,p3,1.9,4414714.62467852,5522881.13634492,0.873927894148537
HTI,p3,3.2,6609531.90171409,3328063.85930935,0.873927894148537
HTI,p3,5.5,8700773.23954858,1236822.52147485,0.873927894148537
KEN,p2,1.9,4796432.86757769,10537250.4219029,0.333075895929032
KEN,p3,1.9,776726.500234156,1706385.11332462,0.333075895929032
KEN,p2,3.2,9365842.88721297,5967840.40226758,0.333075895929032
KEN,p3,3.2,1516689.29147377,966422.32208501,0.333075895929032
KEN,p2,5.5,12861737.1396467,2471946.14983382,0.333075895929032
KEN,p3,5.5,2082808.69371464,400302.919844133,0.333075895929032
LSO,p2,1.9,250508.769120694,355667.250797655,0.729365427436565
LSO,p3,1.9,702498.315237257,385070.459649853,0.729365427436565
LSO,p2,3.2,325240.556032584,280935.463885765,0.729365427436565
LSO,p3,3.2,802235.958095801,285332.816791309,0.729365427436565
LSO,p2,5.5,477375.02621747,128800.993700879,0.729365427436565
LSO,p3,5.5,972570.572201545,114998.202685565,0.729365427436565
MDG,p3,1.9,1895177.95880108,52665.8197418221,0.152203113182838
MDG,p2,1.9,2191387.15889165,75394.7246825656,0.152203113182838
MDG,p3,3.2,1928566.08801565,19277.690527254,0.152203113182838
MDG,p2,3.2,2235951.72171328,30830.1618609303,0.152203113182838
MDG,p3,5.5,1939811.65122219,8032.1273207164,0.152203113182838
MDG,p2,5.5,2262626.58475381,4155.29882040422,0.152203113182838
MOZ,p2,1.9,1628681.87167732,882517.359590796,0.0777239801631739
MOZ,p2,3.2,2144088.50086395,367110.730404167,0.0777239801631739
MOZ,p2,5.5,2389330.82514677,121868.406121349,0.0777239801631739
MRT,p2,1.9,1132472.58781554,3651297.8457762,1.00000071775898
MRT,p2,3.2,2318330.27572643,2465440.15786531,1.00000071775898
MRT,p2,5.5,3574727.09797239,1209043.33561935,1.00000071775898
MWI,p2,1.9,15621253.3093822,3123879.96671983,0.924148039728176
MWI,p2,3.2,17695519.7098713,1049613.56623076,0.924148039728176
MWI,p2,5.5,18286515.1544878,458618.121614241,0.924148039728176
NAM,p3,1.9,606353.025180733,778527.25226909,0.967689885871704
NAM,p2,1.9,632950.979445892,591580.324883113,0.967689885871704
NAM,p3,3.2,812739.603389586,572140.674060237,0.967689885871704
NAM,p2,3.2,884327.320254706,340203.984074299,0.967689885871704
NAM,p3,5.5,1006003.69192653,378876.585523293,0.967689885871704
NAM,p2,5.5,1047756.2268677,176775.077461301,0.967689885871704
PAK,p3,1.9,616885.366242845,4025598.39479318,0.0227280028249099
PAK,p2,1.9,12381.0627912972,80794.8919294984,0.0227280028249099
PAK,p3,3.2,3102710.51210631,1539773.24892971,0.0227280028249099
PAK,p2,3.2,62272.2725740324,30903.6821467633,0.0227280028249099
PAK,p3,5.5,4338279.26903619,304204.491999834,0.0227280028249099
PAK,p2,5.5,87070.4850128922,6105.46970790346,0.0227280028249099
SDN,p3,1.9,3240897.42302904,2825489.19113723,0.99731846913595
SDN,p2,1.9,12264654.7963613,25093404.5097701,0.99731846913595
SDN,p3,3.2,5201925.32230481,864461.291861454,0.99731846913595
SDN,p2,3.2,23107332.9674762,14250726.3386552,0.99731846913595
SDN,p3,5.5,5861789.62127304,204596.992893226,0.99731846913595
SDN,p2,5.5,32925314.9050439,4432744.4010874,0.99731846913595
SLV,p2,1.9,321095.66100222,5753250.7636514,0.99318891844121
SLV,p3,1.9,30126.1109645442,330464.017431053,0.99318891844121
SLV,p2,3.2,959576.406883158,5114770.01777046,0.99318891844121
SLV,p3,3.2,82531.8226066191,278058.305788978,0.99318891844121
SLV,p2,5.5,2378548.66183165,3695797.76282196,0.99318891844121
SLV,p3,5.5,178637.758991363,181952.369404234,0.99318891844121
SOM,p2,1.9,14625790.4619923,1479383.53800769,1
SOM,p2,3.2,15671849.0061002,433324.993899755,1
SOM,p2,5.5,16024092.4826097,81081.5173902839,1
SSD,p3,1.9,10302250.1431119,313493.006603644,1
SSD,p2,1.9,2909233.18637843,85030.6639059938,1
SSD,p3,3.2,10541115.1552975,74627.9944181012,1
SSD,p2,3.2,2974614.21116641,19649.6391180139,1
SSD,p3,5.5,10603260.162026,12482.9876895519,1
SSD,p2,5.5,2991065.13047073,3198.71981369575,1
SWZ,p3,1.9,577496.15511302,674276.853955751,0.984525282434521
SWZ,p2,1.9,18797.6640749984,146451.643237826,0.984525282434521
SWZ,p3,3.2,798503.765237296,453269.243831474,0.984525282434521
SWZ,p2,3.2,40686.1295677477,124563.177745077,0.984525282434521
SWZ,p3,5.5,1020414.14728661,231358.861782159,0.984525282434521
SWZ,p2,5.5,103712.431805386,61536.8755074384,0.984525282434521
TZA,p3,1.9,2518530.10080356,979957.152915396,0.0834328075165934
TZA,p2,1.9,1178486.62019165,560488.830043877,0.0834328075165934
TZA,p3,3.2,3232991.95660559,265495.297113368,0.0834328075165934
TZA,p2,3.2,1534767.22301717,204208.227218365,0.0834328075165934
TZA,p3,5.5,3427326.8372426,71160.4164763505,0.0834328075165934
TZA,p2,5.5,1682785.49339474,56189.956840794,0.0834328075165934
UGA,p2,1.9,4055503.18322263,6323396.03622369,0.251064755908266
UGA,p3,1.9,576557.294122342,891712.621998097,0.251064755908266
UGA,p2,3.2,6517362.94196556,3861536.27748076,0.251064755908266
UGA,p3,3.2,1002878.12706042,465391.789060023,0.251064755908266
UGA,p2,5.5,8793664.01835522,1585235.2010911,0.251064755908266
UGA,p3,5.5,1276858.76167841,191411.154442033,0.251064755908266
YEM,p3,1.9,1490156.55306328,680083.51371285,0.266101421578489
YEM,p2,1.9,3186441.836476,2691636.75332283,0.266101421578489
YEM,p3,3.2,1980330.23684946,189909.829926676,0.266101421578489
YEM,p2,3.2,4919067.41085674,959011.178942094,0.266101421578489
YEM,p3,5.5,2121584.96345341,48655.1033227215,0.266101421578489
YEM,p2,5.5,5683777.87032325,194300.719475589,0.266101421578489
ZAF,p2,1.9,19631643.7579244,38605106.9227695,0.991749520104458
ZAF,p2,3.2,30702087.7928324,27534662.8878615,0.991749520104458
ZAF,p2,5.5,39534078.4695876,18702672.2111063,0.991749520104458
ZMB,p2,1.9,5554556.49263034,430934.054970325,0.36530890912163
ZMB,p3,1.9,746430.671295882,91783.6239185672,0.36530890912163
ZMB,p2,3.2,5777047.14923736,208443.398363304,0.36530890912163
ZMB,p3,3.2,790902.522123669,47311.7730907806,0.36530890912163
ZMB,p2,5.5,5904987.94354831,80502.6040523578,0.36530890912163
ZMB,p3,5.5,823071.596545763,15142.6986686867,0.36530890912163
ZWE,p3,1.9,8455984.3498875,1643877.15434945,0.662759849778081
ZWE,p2,1.9,1375024.45701647,243016.366153212,0.662759849778081
ZWE,p3,3.2,9270371.80636147,829489.697875469,0.662759849778081
ZWE,p2,3.2,1519406.92183463,98633.9013350499,0.662759849778081
ZWE,p3,5.5,9742458.2306418,357403.273595141,0.662759849778081
ZWE,p2,5.5,1572754.65141342,45286.1717562606,0.662759849778081
AFG,nonipc,1.9,-943170.454240242,2714510.08340417,0.953453097479144
AFG,nonipc,3.2,853781.856526427,917557.772637501,0.953453097479144
AFG,nonipc,5.5,1666417.91693451,104921.712229424,0.953453097479144
AGO,nonipc,1.9,16599953.4240713,15295039.0173196,0.028403362136685
AGO,nonipc,3.2,23416543.9460633,8478448.4953275,0.028403362136685
AGO,nonipc,5.5,28537552.1730549,3357440.26833594,0.028403362136685
