iso3,poverty_line,value,NumPoor,ReqYearPopulation
AFG,1.9,0.361596003379814,13760514.5744546,38054941
AFG,3.2,0.739273040499562,28132991.9391014,38054941
AFG,5.5,0.939434397501307,35750120.5702828,38054941
AGO,1.9,0.5299545,17397028.8832545,32827401
AGO,3.2,0.7399611,24290999.7541011,32827401
AGO,5.5,0.8972364,29453939.0945964,32827401
ALB,1.9,0.01111379,32697.14804886,2942034
ALB,3.2,0.07137672,209992.73704848,2942034
ALB,5.5,0.3156051,928520.9347734,2942034
ARE,1.9,0,0,9813170
ARE,3.2,0,0,9813170
ARE,5.5,0,0,9813170
ARG,1.9,0.01825004,830566.60216596,45510399
ARG,3.2,0.05979724,2721396.25149876,45510399
ARG,5.5,0.1719632,7826113.8453168,45510399
ARM,1.9,0.01276412,37509.65139748,2938679
ARM,3.2,0.1256806,369334.9399274,2938679
ARM,5.5,0.5037636,1480399.5122844,2938679
AUS,1.9,0.004984838,126605.797840326,25398177
AUS,3.2,0.007444149,189067.813916373,25398177
AUS,5.5,0.007444149,189067.813916373,25398177
AUT,1.9,0.005683584,49914.42824064,8782210
AUT,3.2,0.007228813,63484.95381673,8782210
AUT,5.5,0.01142696,100353.9623816,8782210
AZE,1.9,0,0,10099743
AZE,3.2,0,0,10099743
AZE,5.5,8.66141e-05,874.7801501763,10099743
BDI,1.9,0.7998982,9550166.1866914,11939227
BDI,3.2,0.9288315,11089530.1232505,11939227
BDI,5.5,0.9809529,11711819.3494083,11939227
BEL,1.9,0.000811136,9425.377608192,11619972
BEL,3.2,0.0009453633,10985.0950758276,11619972
BEL,5.5,0.001754748,20390.122627056,11619972
BEN,1.9,0.4248164,5150042.844954,12122985
BEN,3.2,0.6977807,8459184.9593895,12122985
BEN,5.5,0.8934191,10830906.3480135,12122985
BFA,1.9,0.3219561,6729959.4331545,20903345
BFA,3.2,0.6967045,14563454.5265525,20903345
BFA,5.5,0.8984559,18780733.6449855,20903345
BGD,1.9,0.0568376,9649621.1028184,169775309
BGD,3.2,0.3480996,59098717.1527764,169775309
BGD,5.5,0.7437453,126269588.124798,169775309
BGR,1.9,0.008704606,60414.552967362,6940527
BGR,3.2,0.02069471,143632.19351217,6940527
BGR,5.5,0.06554953,454948.28280231,6940527
BIH,1.9,0.0005898651,2063.471991471,3498210
BIH,3.2,0.003126422,10936.88070462,3498210
BIH,5.5,0.02356285,82427.7974985,3498210
BLR,1.9,0,0,9415431
BLR,3.2,0,0,9415431
BLR,5.5,0.002474586,23299.293736566,9415431
BLZ,1.9,0.1764907,70244.5340349,398007
BLZ,3.2,0.3592407,142980.3132849,398007
BLZ,5.5,0.592359,235763.028513,398007
BOL,1.9,0.03875404,447375.94018728,11543982
BOL,3.2,0.08828626,1019174.99628732,11543982
BOL,5.5,0.2236107,2581357.8958074,11543982
BRA,1.9,0.04792231,10248811.1879563,213863046
BRA,3.2,0.09595118,20520411.6220943,213863046
BRA,5.5,0.2053861,43924496.9520606,213863046
BTN,1.9,0.006756228,5643.10565586,835245
BTN,3.2,0.07111246,59396.3266527,835245
BTN,5.5,0.2933477,245017.1996865,835245
BWA,1.9,0.1592477,384705.1792382,2415766
BWA,3.2,0.3819642,922736.1275772,2415766
BWA,5.5,0.6014227,1452896.5102882,2415766
CAF,1.9,0.7078183,3483095.2864687,4920889
